Time[min];Temperature[°C];Power[W];Observer state Temperature[°C];Observer state Power[W];Observer state Ambient temperature[°C]
67.37;54.6;72.0;54.57630486145049;637.0699097762966;22.0
67.54;54.6;73.0;54.61874806053861;616.447928793599;22.0
67.7;54.6;140.0;54.6313308712904;596.9879298386643;22.0
67.87;54.7;96.0;54.67520622685374;581.4395420937027;22.0
68.04;54.7;68.0;54.7193814350398;564.1093076665554;22.0
68.2;54.8;2.0;54.78350712973459;545.5360257201364;22.0
68.37;54.8;21.0;54.81160172344566;525.6417645246003;22.0
68.54;54.9;54.0;54.83818697576886;509.23929575553944;22.0
68.7;54.9;40.0;54.86429491677184;491.67421495840154;22.0
68.87;54.9;41.0;54.89947948947274;475.0805203855471;22.0
69.04;54.9;66.0;54.90985764455488;459.33279677698846;22.0
69.2;54.9;127.0;54.91191324035375;446.4150766410711;22.0
69.37;54.9;179.0;54.911466559995176;436.8760457527753;22.0
69.54;55.0;222.0;54.94514969882936;430.2042615333232;22.0
69.7;54.9;80.0;54.984474475148396;421.364234968855;22.0
69.87;55.0;228.0;54.96110242611349;411.6967272994749;22.0
70.04;55.0;147.0;54.990549269196656;404.91309689933684;22.0
70.2;55.0;153.0;54.99979874125918;396.57290060929654;22.0
